Video ID,Title,Transcript,Sentiment Polarity,Sentiment Subjectivity,Flesch Reading Ease,Grade Level
LeVzouFBmzU,Would you rather… Olympics,[Music] would you rather be a gymnast or a [Music] swimmer would you rather win three silver medals or one gold [Music] medal break a world record or win a gold [Music] medal watch a team sport or watch an individual sport [Music] would you rather be an astronaut or be an [Music] Olympian watch women's sports or watch men's sports [Music],0.533333333,0.4,33.93,23rd and 24th grade
ZD3y4s0dIvo,Quiz Olympics 2 | Facts Quiz,Hello friends welcome back to the quiz challenge we hope you enjoyed today's quiz and learn something new if you're ready please subscribe and let's get started [Music] [Music] [Music] [Music] [Music] [Applause] [Music] [Music] [Music] [Music] [Music] [Applause] [Music] [Applause] oh [Applause] [Music] [Applause] [Music] [Music] [Music] oh,0.327272727,0.510909091,21.74,12th and 13th grade
RfK1eP5MYS4,Would you Rather... Summer Edition,Hello friends welcome back to the quiz challenge today we are here to play a round of would you rather are you ready to have some fun hit that subscribe button and share with your friends before we begin let's go would you rather a Beach vacation or a Mountain [Music] Adventure would you rather Safari in Africa or exploring the Amazon [Music] rainforest are you team Disney or team Universal Studios tell me in the comments what you [Music] chose would you rather camping in the forest or staying in a castle [Music] visiting ancient ruins or visiting a modern [Music] city would you rather go snowboarding in the Alps or surfing in [Music] Hawaii what about a hot air balloon ride or a submarine tour [Music] ice cream by the pool or hot chocolate by the [Music] fireplace would you rather riding a camel in the desert or subscribe to this [Music] channel do you prefer exploring caves or snorkeling in oral [Music] reaps would you rather visiting a big zoo or going to a big [Music] aquarium movie Under the Stars or live theater in Broadway [Music] would you rather take a cruise ship or travel on a luxurious [Music] train would you rather stay in a treehouse or sleep in an [Music] egloo roller coaster park or Aquatic Park go ice skating or go roller [Music] skating kend to firework show or attend a laser light [Music] show F to Harry Potter theme park or to a Star Wars theme park [Music] would you rather visit an ice cream factory or visit a chocolate factory triip lining Through the Jungle or try bungee [Music] jumping say in a yach or stay in a [Music] lighthouse take a pottery class or take a painting [Music] class visit a dinosaur museum or visit a space museum [Music] visit a haunted house or visit a fairy tale [Music] Village spend the day in a five stars hotel or spend the day in a national [Music] park see the Northern Lights or see the whales [Music] F the castle in Scotland or dog sledding in [Music] Alaska go to the Greek island or go to Bora Bora [Music] would you rather wrapping in the Grand Canyon or go to the carnival in [Music] Rio swimming with dolphins or Swimming with [Music] Sharks back back travel or Comfort travel [Music] spend the day shopping or spend the day in a [Music] museum 3 months of vacation and no money or 4 days of vacation and lots of money [Music] vacations with friends or travel alone and make new [Music] friends vacation to relax or vacation to [Music] party vacations with a K-pop Star or vacations with a YouTuber tell us in the comments who you [Music] chose explore the atoma desert or explore the North Pole [Music] [Applause] [Music] [Applause],0.148564593,0.371291866,-397.8,187th and 188th grade
9gmTfQtWPJM,Would You Rather...? 🚀 Space Edition! #Shorts,would you rather have invisible power or travel at like speed go on holiday to an unknown planet or turn to the Moon in back be the first human on mars or the last human on [Music] earth flow through space your entire life or like And subscribe own a space company or be an astronaut [Music] live under the seat or live in outer space see a black hole or see a super mobile [Applause] [Music],0.099116162,0.410416667,18.7,29th and 30th grade
N8slYIa5RvM,Planets and Space Quiz | Facts Quiz,Hello friends welcome back to the quiz challenge are You Ready for today's quiz we have 20 questions and 5 Seconds to answer but before we begin don't forget to like subscribe and share with your friends are you ready let's go [Music] w [Music] [Applause] [Music] m [Music] 2 [Music] [Music] d [Music] the [Music] [Music] la [Music] [Applause] [Music] w [Music],0.3,0.475,24.45,25th and 26th grade
OnMe42DH1Hg,Water Cycle Quiz | Facts Quiz,Hello friends welcome back to the quiz challenge are You Ready for today's quiz we have 20 questions and 5 Seconds to answer but before we begin don't forget to like subscribe and share with your friends are you ready let's go [Music] w [Music] w [Music] w [Music] w [Music],0.3,0.475,45.09,19th and 20th grade
cwCilNVm9xM,Name the Flower | Facts Quiz,Hello friends welcome back to the quiz challenge in today's video let's see how many flowers you can guess we have 20 questions and 5 Seconds to answer if you're ready don't forget to like subscribe and share with your friends let's get started [Music] he [Music] n [Music] [Music] he [Music] w o [Music] n [Music] [Music] [Music],0.375,0.475,36.97,29th and 30th grade
KQCPikSx6dc,Women in History | Facts Quiz,Hello friends welcome back to the quiz challenge we hope you enjoyed today's quiz and learn something new if you're ready please subscribe and let's get started [Music] [Applause] [Music] [Applause] [Music] [Applause] [Music] [Applause] [Music] [Applause] [Music] come [Music] [Music] [Applause] [Music] [Music] he [Music] [Applause] [Music] he [Music],0.327272727,0.510909091,20.73,22nd and 23rd grade
nvWDAXOJRlE,Olympics Quiz | Facts Quiz,Hello friends welcome back to the quiz challenge we hope you enjoyed today's quiz and learn something new if you're ready please subscribe and let's get started [Music] [Music] [Music] [Music] know [Music] [Applause] [Music] [Music] [Music] [Applause] [Music] [Music] [Applause] [Music] [Applause] oh [Music] [Applause] [Music] [Music] [Music] oh,0.327272727,0.510909091,20.73,22nd and 23rd grade
8If3ForRc5M,African Flags Quiz | Facts Quiz,Hello friends welcome to the quiz challenge where we explore all kinds of amazing facts and challenge our brains we are very excited about today's topic but before we begin hit that subscribe buttton and share with your friends are you ready let's [Music] go e [Music] oh [Music] n [Music] [Music] [Music] [Music] w [Music] [Music] he [Music],0.521875,0.81875,28.51,23rd and 24th grade
pYJs4-WVFnU,Flags Quiz for Kids | Facts Quiz,Hello friends welcome to the quiz challenge where we explore all kinds of amazing facts and challenge our brains we are very excited about today's topic but before we begin hit that subscribe button and share with your friends are you ready let's go [Music] [Applause] a [Music] [Applause] [Music] a [Music] [Applause] [Music] [Music] [Applause] [Music] [Applause] a [Music] [Music] [Music] [Applause] [Music] [Music] [Music] he [Music],0.521875,0.81875,10.92,28th and 29th grade
CIWCru78WiY,Animal Quiz for Kids | Facts Quiz,Hello friends welcome to the quiz challenge where we explore all kinds of amazing facts and challenge our brains we are very excited about today's topic but before we begin hit that subscribe button and share with your friends are you ready let's go [Music] [Music] [Music] [Music] [Music] [Music],0.521875,0.81875,37.65,19th and 20th grade
awfFDzfLjiU,Capitals of the World Quiz | Facts Quiz,Hello friends welcome to the quiz challenge where we explore all kinds of amazing facts and challenge our brains we are very excited about today's topic but before we begin hit that subscribe button and share with your friends are you ready let's go [Music] [Music] [Music] [Applause] [Music] [Music] ch [Music] [Music] [Music] [Music] y yay,0.521875,0.81875,30.54,22nd and 23rd grade
